année académique plan,semestre plan,code matière,matière,section responsable,type d'enseignement,nb étudiants,jour,heure début séance,heure fin séance,espace (code),nb.places dans l'espace,nombre total d'espaces,nombre total de places,overbooking
2023-2024,HIVER,PHYS-465,Astrophysics III : galaxy formation and evolution,Physique,Cours,26,friday,10:15,12:00,CE1104,70,1,70,non
2023-2024,HIVER,PHYS-465,Astrophysics III : galaxy formation and evolution,Physique,Exercices,26,friday,13:15,15:00,CE1104,70,1,70,non
2023-2024,HIVER,PHYS-467,Machine learning for physicists,Physique,Cours,141,friday,08:15,10:00,CE4,233,1,233,non
2023-2024,HIVER,PHYS-467,Machine learning for physicists,Physique,Exercices,141,friday,10:15,12:00,CE4,233,1,233,non
2023-2024,HIVER,PHYS-501,Nonlinear optics,Microtechnique,Cours,8,wednesday,12:15,14:00,CM1221,64,1,64,non
2023-2024,HIVER,PHYS-501,Nonlinear optics,Microtechnique,Exercices,8,wednesday,14:15,16:00,CM1221,64,1,64,non
2023-2024,HIVER,PHYS-512,Statistical physics of computation,Physique,Cours,41,thursday,13:15,15:00,CO120,40,1,40,oui
2023-2024,HIVER,PHYS-512,Statistical physics of computation,Physique,Exercices,41,thursday,15:15,17:00,CO120,40,1,40,oui
2023-2024,HIVER,PREPA-001,Algèbre linéaire (pour CMS),Cours de mathématiques spéciales,Cours,269,tuesday,08:15,10:00,BS160,100,3,299,non
2023-2024,HIVER,PREPA-001,Algèbre linéaire (pour CMS),Cours de mathématiques spéciales,Cours,269,tuesday,08:15,10:00,BS170,100,3,299,non
2023-2024,HIVER,PREPA-001,Algèbre linéaire (pour CMS),Cours de mathématiques spéciales,Cours,269,tuesday,08:15,10:00,CE1106,99,3,299,non
2023-2024,HIVER,PREPA-001,Algèbre linéaire (pour CMS),Cours de mathématiques spéciales,Exercices,269,tuesday,10:15,12:00,BS160,100,3,299,non
2023-2024,HIVER,PREPA-001,Algèbre linéaire (pour CMS),Cours de mathématiques spéciales,Exercices,269,tuesday,10:15,12:00,BS170,100,3,299,non
2023-2024,HIVER,PREPA-001,Algèbre linéaire (pour CMS),Cours de mathématiques spéciales,Exercices,269,tuesday,10:15,12:00,CE1106,99,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Cours,269,monday,13:15,15:00,BS160,100,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Cours,269,monday,13:15,15:00,BS170,100,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Cours,269,monday,13:15,15:00,CE1106,99,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Cours,269,thursday,10:15,12:00,BS160,100,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Cours,269,thursday,10:15,12:00,BS170,100,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Cours,269,thursday,10:15,12:00,CE1106,99,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Exercices,269,monday,15:15,17:00,BS160,100,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Exercices,269,monday,15:15,17:00,BS170,100,3,299,non
2023-2024,HIVER,PREPA-003,Analyse I (pour CMS),Cours de mathématiques spéciales,Exercices,269,monday,15:15,17:00,CE1106,99,3,299,non
2023-2024,HIVER,PREPA-005,Analyse II (pour CMS),Cours de mathématiques spéciales,Cours,269,thursday,13:15,15:00,BS160,100,3,299,non
2023-2024,HIVER,PREPA-005,Analyse II (pour CMS),Cours de mathématiques spéciales,Cours,269,thursday,13:15,15:00,BS170,100,3,299,non
2023-2024,HIVER,PREPA-005,Analyse II (pour CMS),Cours de mathématiques spéciales,Cours,269,thursday,13:15,15:00,CE1106,99,3,299,non
2023-2024,HIVER,PREPA-005,Analyse II (pour CMS),Cours de mathématiques spéciales,Exercices,269,thursday,15:15,17:00,BS160,100,3,299,non
2023-2024,HIVER,PREPA-005,Analyse II (pour CMS),Cours de mathématiques spéciales,Exercices,269,thursday,15:15,17:00,BS170,100,3,299,non
2023-2024,HIVER,PREPA-005,Analyse II (pour CMS),Cours de mathématiques spéciales,Exercices,269,thursday,15:15,17:00,CE1106,99,3,299,non
2023-2024,HIVER,PREPA-013,Géométrie analytique (pour CMS),Cours de mathématiques spéciales,Cours,269,friday,08:15,10:00,BS160,100,3,299,non
